Stations_ID;Stationsname;Geo. Laenge [Grad];Geo. Breite [Grad];Stationshoehe [m];Geberhoehe ueber Grund [m];Von_Datum;Bis_Datum;Geraetetyp Name;Messverfahren;eor;
4104;Regensburg;12.05;49.02;337.5;15;19490101;19541231;Windmessanlage, unbekannt;Windmessung;eor;
4104;Regensburg;12.05;49.02;337.5;15;19550101;19600405;Universal-Windschreiber 90;Windmessung, elektromechanisch;eor;
4104;Regensburg;12.06;49.02;340.4;9;19600406;19620625;Universal-Windschreiber 90;Windmessung, elektromechanisch;eor;
4104;Regensburg;12.07;49.01;376;10;19620627;19780917;Universal-Windschreiber 90;Windmessung, elektromechanisch;eor;
4104;Regensburg;12.1;49.04;366;10;19780918;19940331;Universal-Windschreiber 90;Windmessung, elektromechanisch;eor;
4104;Regensburg;12.1;49.04;366;10;20030805;20061218;Windsensor Classic 4.3303;Windmessung, elektr.;eor;
4104;Regensburg;12.1;49.04;366;15;20061219;20061219;Windsensor Classic 4.3303;Windmessung, elektr.;eor;
4104;Regensburg;12.1;49.04;365.4;15;20061220;20100308;Windsensor Classic 4.3303;Windmessung, elektr.;eor;
4104;Regensburg;12.1;49.04;365.4;15;20100309;20190312;Windsensor Classic 4.3303;Windmessung, elektr.;eor;
generiert: 14.03.2019 --  Deutscher Wetterdienst  --
